ID	Replicate	Method	Protein	DeepMito
75	3	1	cox2	08926d85-2973-457f-8c50-f2b0e7069471
76	3	1	hac1	b2af97bc-d2c8-4827-a7ea-4ebf2b7336ce
77	3	2	atp8	1cac3bf3-cbe4-4bad-9498-c2bf811529f5
78	3	2	atp9	3c0c5095-46b7-4d59-bbcc-0954dde0da2d
79	3	2	cox2	76690340-8132-4f89-b026-116b340e1e0a
80	3	2	hac1	8b3532a3-6e36-4644-9905-3c4741fee9f1
81	3	3	atp8	bdde4e29-f89e-4c11-8ae7-3a82487ecf4a
82	3	3	atp9	60105567-d67c-4def-bfde-1453f5a47262
83	3	3	cox2	7adff639-ba4a-4738-af52-5cf88219276e
84	3	3	hac1	cef29ad8-e33b-4ab1-8784-5f2e5784c072
85	3	4	atp8	51240a3c-e0fd-41e6-8693-ab4f5797e152
86	3	4	atp9	ba92df96-3646-4cb9-9c65-9474ae148f07
87	3	4	cox2	cafcf389-dc7c-4867-b610-e3469ef2c88c
88	3	4	hac1	b94cafca-4dc5-434e-8ed9-379d663cc3d7
89	3	5	atp8	1477707e-3ba6-400c-850c-dabc78575f48
90	3	5	atp9	7bfee010-247d-4b19-a4a1-a77c2b1d1acd
91	3	5	cox2	f04cfecf-5f91-4419-b7b7-a1e85f9cb3ab
92	3	5	hac1	56d5e9ed-3a76-40de-8982-a1a9e7d718b5
93	3	6	atp8	c019069b-d9d2-4da9-ab5d-4d23440fd6ab
94	3	6	atp9	22274c44-cea6-473d-8aa4-acc8dd9d872a
95	3	6	cox2	8334609d-48b0-49b4-81aa-0d68457bb570
96	3	6	hac1	9a6f13c5-b250-432f-8cf0-0086b1f48c1b
97	3	7	atp8	c14e7655-e1a3-4be4-8465-d62028a250ba
98	3	7	atp9	6d05995f-95b2-4177-b6e1-47dfd21585ca
99	3	7	cox2	f79a0089-cb84-4ee9-83b0-2ecfdfd7e967
100	3	7	hac1	8480a950-4f5d-41b6-ab5f-730d947672e5
102	3	8	atp8	713673c8-28b0-4501-a096-508a5dc653a9
103	3	8	atp9	435586cf-99dc-4613-82a7-dd06f99e2b04
104	3	8	cox2	23e1c1d0-97fb-4601-a825-9317908267d6
105	3	8	hac1	049c9a25-8666-4e9c-87f9-d13f7d1a9d82
106	3	9	atp8	2cf513f7-3af3-4bfe-9245-1eeba0f35285
107	3	9	atp9	e9aab430-9399-4adc-a649-f70ae16c2c21
108	3	9	cox2	5fde2eb0-8a6b-454b-882c-b3007faef018
109	3	9	hac1	7c708b1a-97e5-4b86-8479-6d941aa98910
110	1	1	var1	0bf2d3fe-197b-4efe-99f6-58b8ec960c37
111	1	2	var1	ac526724-76ce-4328-8fc1-20d3633809c3
112	1	3	var1	78e73024-a0fb-4099-b5bd-ca40642c30e5
113	1	4	var1	4d7bddf9-5564-402d-ae2b-1a53e33df82d
114	1	5	var1	f15fcdff-2d17-4869-afe8-b65a2000a4d2
115	1	6	var1	cd052da5-ee27-41c4-99d6-5e04eabdf339
116	1	7	var1	58c3a14e-cd43-4ca8-900e-6b1e22c61993
117	1	8	var1	454625ad-6938-4229-a0e0-4101f74544f9
118	1	9	var1	4baf379d-1aef-4aec-ba51-a1e671112960
119	2	1	var1	1b641cba-60c5-424d-87bd-25fc906bcfd8
120	2	2	var1	f857e672-7d19-4246-b0c0-354d75b21305
121	2	3	var1	db4ea3aa-e76b-41a0-a675-a8c573b45e85
